Internal ID Variant (Do Not Edit);Category;SKU;Items Name (Do Not Edit);ecommerce item? (Yes/No);Pre-order ? (Yes/No);Processing days;Weight (gm);Length (cm);Width (cm);Height (cm);Condition;Brand Name;Variant name;Basic - Price;Image 1 (for Online Store);Image 2 (for Online Store);Image 3 (for Online Store);Image 4 (for Online Store);Image 5 (for Online Store);Image 6 (for Online Store);Image 7 (for Online Store);Image 8 (for Online Store);Image 9 (for Online Store);Image 10 (for Online Store);Image 11 (for Online Store);Image 12 (for Online Store);In Stock;Track Stock;Track Alert;Stock Alert;Track Cost;Cost Amount
90729287;ACCESSORIES;3044;Adaptor Connector RPM;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;5;Yes;Yes;1;No;
90729289;LIQUID;4072;Exo : Melon;No;No;0;;;;;;Unbranded;;90000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729290;ACCESSORIES;3001;Drip Tip 510;No;No;0;;;;;;Unbranded;;35000;;;;;;;;;;;;;1;Yes;Yes;1;No;
90729292;LIQUID;4204;Khalifa Salt Mango;No;No;0;;;;;;Unbranded;;100000;;;;;;;;;;;;;2;Yes;Yes;0;No;
90729295;LIQUID;4042;Butter Coffee Luwak;No;No;0;;;;;;Unbranded;;150000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729299;LIQUID;4159;Iceberg Salt : Blackdew;No;No;0;;;;;;Unbranded;;75000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729300;LIQUID;4307;Tokyo Lychee Salt;No;No;0;;;;;;Unbranded;;110000;;;;;;;;;;;;;1;Yes;Yes;1;No;
90729301;ACCESSORIES;3041;Coil Smok RPM 0.4 Ohm;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729304;LIQUID;4203;Khalifa Salt Honeydew;No;No;0;;;;;;Unbranded;;100000;;;;;;;;;;;;;1;Yes;Yes;1;No;
90729305;ACCESSORIES;3040;Coil Smok RPM3 0.23 Ohm;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;1;Yes;Yes;1;No;
90729306;ACCESSORIES;3127;Wire SS316L Mini AWG 24;No;No;0;;;;;;Unbranded;;40000;;;;;;;;;;;;;1;Yes;Yes;1;No;
90729307;ACCESSORIES;3134;Wrap Battery;No;No;0;;;;;;Unbranded;;2500;;;;;;;;;;;;;1;Yes;Yes;1;No;
90729308;LIQUID;4065;Emkay : King's Reserved 60ml;No;No;0;;;;;;Unbranded;;140000;;;;;;;;;;;;;0;Yes;Yes;0;No;
90729310;ACCESSORIES;3118;Coil Voopoo Vinci 0.6 Ohm;No;No;0;;;;;;Unbranded;;45000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729311;LIQUID;4083;Golden Layers Salt;No;No;0;;;;;;Unbranded;;85000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729312;ACCESSORIES;3046;Cotton Atomix;No;No;0;;;;;;Unbranded;;25000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729313;LIQUID;4052;Cream Grind Coffee;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;0;Yes;Yes;1;No;
90729317;LIQUID;4308;Tokyo Lychee;No;No;0;;;;;;Unbranded;;130000;;;;;;;;;;;;;2;Yes;Yes;1;No;
